Well_id,BOREHOLE-DEPTH.M,CALI_COMP.INCHES,GR_COMP.GAPI,NPHI_COMP.V/V,RHOB_COMP.G/C3,RT_COMP.OHMM,SP_COMP.MV,TVDSS_COMP.M,TVD_COMP.M
Gabo-13,1982.4192,14.0601,61.0836,0.305608,2.171,4.9801,1.1683,1968.3878,1982.1878
Gabo-13,1982.5716,14.0484,55.9255,0.304571,2.1752,5.0335,1.3103,1968.5402,1982.3402
Gabo-13,1982.724,14.06,54.4376,0.307362,2.1751,5.0985,1.5211,1968.6926,1982.4926
Gabo-13,1982.8764,14.0374,52.2477,0.304774,2.168,5.1811,1.7446,1968.8449,1982.6449
Gabo-13,1983.0288,13.9885,48.8546,0.296152,2.1552,5.2839,1.9027,1968.9973,1982.7973
Gabo-13,1983.1812,13.9438,45.3083,0.288343,2.1385,5.3976,2.0657,1969.1497,1982.9497
Gabo-13,1983.3336,13.9534,41.0065,0.283537,2.1229,5.5002,2.3018,1969.302,1983.102
Gabo-13,1983.486,13.9935,37.6602,0.280176,2.1157,5.5765,2.4093,1969.4544,1983.2544
Gabo-13,1983.6384,14.0227,36.8577,0.279577,2.1157,5.6324,2.3779,1969.6068,1983.4068
Gabo-13,1983.7908,14.0305,38.769,0.280659,2.1176,5.6833,2.3721,1969.7591,1983.5591
Gabo-13,1983.9432,14.031,42.4505,0.278144,2.1189,5.7456,2.4703,1969.9115,1983.7115
Gabo-13,1984.0956,14.0564,41.656,0.270545,2.1227,5.8226,2.5516,1970.0639,1983.8639
Gabo-13,1984.248,14.0894,37.8066,0.258268,2.1314,5.9102,2.6308,1970.2163,1984.0163
Gabo-13,1984.4004,14.121,33.667,0.248228,2.144,6.0031,2.785,1970.3686,1984.1686
Gabo-13,1984.5528,14.16,31.2486,0.247083,2.1584,6.0996,2.9855,1970.521,1984.321
Gabo-13,1984.7052,14.2302,32.5719,0.244224,2.1741,6.2018,3.1039,1970.6734,1984.4734
Gabo-13,1984.8576,14.3201,35.2067,0.237902,2.187,6.2882,3.1766,1970.8257,1984.6257
